All Pauline,,All Pauline,,All Pauline,,All Pauline,,All Pauline,,All Pauline,,All Pauline
Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag
R Madison (0.6),,R Madison (0.6),,R Madison (0.6),,R Madison (0.6),,R Madison (0.6),,R Madison (0.6),,R Madison (0.6)
L 7th (1.55),,L 7th (1.55),,L 7th (1.55),,L 7th (1.55),,L 7th (1.55),,L 7th (1.55),,L 7th (1.55)
R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92)
L Maple (3.14),,L Maple (3.14),,L Maple (3.14),,L Maple (3.14),,L Maple (3.14),,L Maple (3.14),,L Maple (3.14)
L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5)
R Kent (3.62),,R Kent (3.62),,R Kent (3.62),,R Kent (3.62),,R Kent (3.62),,R Kent (3.62),,R Kent (3.62)
L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69)
L Covington (3.81),,L Covington (3.81),,L Covington (3.81),,L Covington (3.81),,L Covington (3.81),,L Covington (3.81),,L Covington (3.81)
R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92)
L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09)
R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19)
R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32)
R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37)
L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44)
R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72)
L Main (5.62),,L Main (5.62),,L Main (5.62),,L Main (5.62),,L Main (5.62),,L Main (5.62),,L Main (5.62)
R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7)
L State (6.16),,L State (6.16),,L State (6.16),,L State (6.16),,L State (6.16),,L State (6.16),,L State (6.16)
Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB
Total: 7.16,,Total: 7.16,,Total: 7.16,,Total: 7.16,,Total: 7.16,,Total: 7.16,,Total: 7.16
,,,,,,,,,,,,
All Pauline,,All Pauline,,All Pauline,,All Pauline,,All Pauline,,All Pauline,,All Pauline
Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag
R Madison (0.6),,R Madison (0.6),,R Madison (0.6),,R Madison (0.6),,R Madison (0.6),,R Madison (0.6),,R Madison (0.6)
L 7th (1.55),,L 7th (1.55),,L 7th (1.55),,L 7th (1.55),,L 7th (1.55),,L 7th (1.55),,L 7th (1.55)
R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92),,R Pauline (1.92)
L Maple (3.14),,L Maple (3.14),,L Maple (3.14),,L Maple (3.14),,L Maple (3.14),,L Maple (3.14),,L Maple (3.14)
L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5),,L Dicken (3.5)
R Kent (3.62),,R Kent (3.62),,R Kent (3.62),,R Kent (3.62),,R Kent (3.62),,R Kent (3.62),,R Kent (3.62)
L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69),,L Waltham (3.69)
L Covington (3.81),,L Covington (3.81),,L Covington (3.81),,L Covington (3.81),,L Covington (3.81),,L Covington (3.81),,L Covington (3.81)
R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92),,R Runnymede (3.92)
L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09),,L Las Vegas (4.09)
R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19),,R Coronada (4.19)
R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32),,R Alhambra (4.32)
R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37),,R Stadium (4.37)
L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44),,L Kay Pkwy (4.44)
R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72),,R Pauline (4.72)
L Main (5.62),,L Main (5.62),,L Main (5.62),,L Main (5.62),,L Main (5.62),,L Main (5.62),,L Main (5.62)
R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7),,R Hoover (5.7)
L State (6.16),,L State (6.16),,L State (6.16),,L State (6.16),,L State (6.16),,L State (6.16),,L State (6.16)
Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB
Total: 7.16,,Total: 7.16,,Total: 7.16,,Total: 7.16,,Total: 7.16,,Total: 7.16,,Total: 7.16
